,PM10 (µg/m³),SO2 (ppb),NO2 (ppb),O3 (ppb),SO2 (µg/m³),NO2 (µg/m³),O3 (µg/m³)
21/06/2019 12:00:00,13.2,,,,3.7,10.8,30.8
22/06/2019 12:00:00,9.3,,,,4.0,12.8,39.9
23/06/2019 12:00:00,7.8,,,,6.6,12.1,38.1
24/06/2019 12:00:00,19.8,,,,8.0,7.0,28.2
25/06/2019 12:00:00,19.2,,,,7.8,6.2,20.3
27/06/2019 12:00:00,16.1,,,,8.1,15.1,34.7
28/06/2019 12:00:00,7.0,,,,8.9,11.1,44.2
29/06/2019 12:00:00,10.1,,,,7.1,8.7,38.6
30/06/2019 12:00:00,14.1,,,,6.2,10.6,38.6
01/05/2019 12:00:00,6.8,,,,7.0,12.9,60.9
01/06/2019 12:00:00,12.9,,,,6.8,13.5,52.0
02/05/2019 12:00:00,6.0,,,,8.2,9.0,43.1
02/06/2019 12:00:00,7.9,,,,6.2,10.8,34.6
03/05/2019 12:00:00,7.7,,,,7.9,13.5,48.0
04/05/2019 12:00:00,7.6,,,,6.5,8.2,41.6
05/05/2019 12:00:00,5.6,,,,5.8,10.4,28.5
06/05/2019 12:00:00,4.3,,,,5.7,7.6,36.5
07/05/2019 12:00:00,8.7,,,,6.6,13.1,38.2
08/05/2019 12:00:00,8.0,,,,7.1,10.7,43.2
09/05/2019 12:00:00,9.1,,,,7.7,7.0,52.0
10/05/2019 12:00:00,4.5,,,,7.0,11.8,40.6
11/05/2019 12:00:00,2.2,,,,7.3,7.6,43.2
12/05/2019 12:00:00,8.4,,,,7.5,11.0,34.6
13/05/2019 12:00:00,5.3,,,,6.5,9.0,32.4
14/05/2019 12:00:00,5.1,,,,6.4,28.1,36.8
15/05/2019 12:00:00,4.1,,,,7.4,13.0,39.0
16/05/2019 12:00:00,6.3,,,,6.8,11.0,39.2
17/05/2019 12:00:00,5.8,,,,5.4,15.6,38.5
18/05/2019 12:00:00,6.4,,,,4.7,9.1,41.6
19/05/2019 12:00:00,9.2,,,,7.5,9.1,43.0
21/05/2019 12:00:00,32.2,,,,11.1,,22.3
22/05/2019 12:00:00,10.5,,,,6.9,,27.8
23/05/2019 12:00:00,10.0,,,,9.4,13.5,33.5
24/05/2019 12:00:00,9.6,,,,8.0,13.0,37.8
25/05/2019 12:00:00,7.2,,,,7.3,10.2,52.7
26/05/2019 12:00:00,8.5,,,,7.0,16.7,46.5
27/05/2019 12:00:00,6.6,,,,7.8,8.2,45.2
28/05/2019 12:00:00,8.1,,,,7.3,10.0,21.6
29/05/2019 12:00:00,5.5,,,,5.9,9.8,22.8
30/05/2019 12:00:00,8.8,,,,6.9,11.6,37.1
31/05/2019 12:00:00,6.3,,,,7.8,10.2,34.6
01/03/2019 12:00:00,11.8,,,,8.7,11.8,38.9
02/03/2019 12:00:00,7.5,,,,7.0,9.1,28.4
03/03/2019 12:00:00,9.1,,,,5.7,4.7,33.0
04/03/2019 12:00:00,9.2,,,,8.0,6.4,32.6
05/03/2019 12:00:00,5.6,,,,6.1,6.9,45.8
06/03/2019 12:00:00,5.3,,,,5.8,6.8,27.8
07/03/2019 12:00:00,2.7,,,,5.7,10.0,30.5
08/03/2019 12:00:00,4.6,,,,6.4,7.5,36.1
09/03/2019 12:00:00,10.7,,,,7.0,11.1,38.8
10/03/2019 12:00:00,5.3,,,,6.5,11.9,34.6
11/03/2019 12:00:00,5.5,,,,6.7,9.5,41.7
13/03/2019 12:00:00,5.9,,,,5.3,6.3,33.1
14/03/2019 12:00:00,10.5,,,,7.3,12.2,37.1
15/03/2019 12:00:00,4.2,,,,11.1,20.6,53.9
16/03/2019 12:00:00,8.8,,,,12.6,11.2,56.7
17/03/2019 12:00:00,6.8,,,,13.9,3.1,49.7
18/03/2019 12:00:00,5.0,,,,9.7,20.9,61.1
19/03/2019 12:00:00,5.5,,,,9.7,34.0,72.2
20/03/2019 12:00:00,12.1,,,,8.4,40.5,85.1
21/03/2019 12:00:00,15.2,,,,8.1,40.8,117.1
22/03/2019 12:00:00,5.6,,,,7.5,23.2,85.4
23/03/2019 12:00:00,4.1,,,,6.2,55.0,87.1
24/03/2019 12:00:00,4.7,,,,6.6,16.5,77.5
25/03/2019 12:00:00,0.4,,,,7.0,10.3,89.0
26/03/2019 12:00:00,9.0,,,,7.7,28.1,77.4
27/03/2019 12:00:00,5.8,,,,9.1,13.1,63.2
28/03/2019 12:00:00,8.3,,,,7.5,13.3,67.7
29/03/2019 12:00:00,6.4,,,,7.9,11.8,57.8
30/03/2019 12:00:00,2.9,,,,8.6,14.2,64.6
31/03/2019 12:00:00,2.2,,,,7.8,12.7,40.4
01/09/2019 12:00:00,17.7,,,,12.2,18.7,61.8
02/09/2019 12:00:00,14.8,,,,13.2,12.3,70.3
03/09/2019 12:00:00,12.1,,,,13.6,11.1,70.2
04/09/2019 12:00:00,9.3,,,,13.0,9.6,53.8
05/09/2019 12:00:00,7.5,,,,11.9,14.3,54.3
06/09/2019 12:00:00,6.4,,,,13.1,13.8,53.7
